Material,Predicted log Conductivity
LiCaGaF6,-4.456069645773743
Ba3LiTa3Ti5O21,-3.0052343735793867
LiDy(WO4)2,-3.7844981208555972
LiFePH2O5,-2.9984036886434193
LiCaAl3N4,-4.2333867156631335
CsLi(PO3)2,-3.1170833351126648
LiY3Si2(O4F)2,-2.6753967691932936
LiMgP,-3.4704248838338465
LiH2ClO5,-4.163112817367696
LiMoIO6,-3.8195102115796735
LiZnAsH2O5,-3.5835578449464425
LiPO3,-3.547882765217463
Rb2LiRhCl6,-2.572257376116423
LiLa2S2O8F3,-1.3539207713856432
LiInI4,-3.551767976378357
SrLiCrF6,-3.3527750973933292
LiFe3P3(HO6)2,-3.649376347935386
Rb2LiSmCl6,-3.1319544327531577
LiSb(PO3)4,-2.799503498353191
LiMnPO4,-3.697979490591744
K2LiErCl6,-2.3829553200287337
Cs2LiScF6,-2.2939109301124647
Rb2LiRhF6,-3.3489244752145266
LiVFe(P2O7)2,-2.3407291107056256
LiFe(SeO3)2,-3.9047541625241244
K2LiC3(SN)3,-4.006947103269889
LiSn2(PO4)3,-3.4054138263059874
LiMoP2O7,-3.625604097006902
SrLiTi4CrO11,-2.1585224949333295
LiFe(PO3)3,-3.213093093984238
Na5LiMn2P2(CO7)2,-4.132821968344615
Rb2LiAsF6,-3.4948435107167515
LiBH4,-3.2347967288512303
LiNdS2,-2.8146868553330733
LiVSiO4,-2.681973170603154
LiVF4,-1.6057874964109322
BaLiAlF6,-4.078020680099404
LiH4CN3,-3.424532195591997
LiNbO3,-2.4576314508454113
RbLiBi2(MoO4)4,-4.314010027416677
LiBr,-1.9091360381578937
LiV3P2(HO3)4,-0.9441921773787321
LiAl2H6ClO6,-3.4153936836169954
Cs2LiLaCl6,-2.2665876816600234
LiMgH6Ir,-2.520464604206031
LiSO3F,-3.29077630403156
Ba4LiNb3O12,-3.410768516021509
NaLiY2F8,-1.0055583971788333
Rb2LiTaS4,-2.3840435386192076
LiMgH14Cl3O7,-2.3218235024583476
LiTi2(PO4)3,-2.2779132221239236
Na5LiMn2P2(CO7)2,-4.132821968344615
NaLiTm2F8,-3.406988481324149
LiNbO3,-2.4576314508454113
LiVP2O7,-2.879443423826046
LiGa(MoO4)2,-5.152616079533086
LiNd(PO3)4,-3.059534227013765
LiErO2,-3.2392895296332194
LiBiP2O7,-2.7398810927049406
Na2LiAlH6,-2.981523617436136
LiHoS2,-3.03123115442492
LiCr(PO3)4,-3.5721038799194105
LiZn2(BH4)5,-3.6077518726510123
LiMnF3,-3.5514444029773338
Na2LiLa3Ti6O18,-1.1741954346783632
Rb2LiYCl6,-2.0704282286629008
K2LiRhF6,-3.0829926240411805
LiAlSiO4,-3.9993398502504593
Rb2LiHoCl6,-2.5663012236977494
LiMnPO4,-3.697979490591744
K2LiV5H10O19,-1.520169413144636
KLiTb2(MoO4)4,-4.048094759567999
LiAlO2,-3.943417622019909
Rb2LiYF6,-1.6139099432653536
RbLiZn2O3,-2.856206551400535
RbLiSO4,-2.779593068374395
LiSbO3,-3.2125309273060014
LiFeP2O7,-3.692900264122724
KLiSO4,-2.508936096439569
LiPPbO4,-3.5534851309194573
Rb2LiBiF6,-3.393616069594665
LiSb(PO3)4,-2.799503498353191
KLiO,-3.1316073984482506
Rb3LiZn2(MoO4)4,-4.221029986292045
LiAg2P3(HO5)2,-4.155866300857185
LiP5Pb2O15,-2.9768630288192646
Sr2LiIn(B2O5)2,-5.174545824645908
LiFe(PO3)4,-2.905322928586248
LiVOF3,-1.5560684314989326
LiCoPHO5,-3.4809796702345492
LiTeH5O6,-2.609479377143635
SrLiTi4CrO11,-2.1585224949333295
LiPH4NO3F,-3.400009501416509
LiNiPO4,-3.7783580857150367
LiCoAsO4,-4.007570509778762
LiMnPO4,-3.697979490591744
K2LiTa6(PO8)3,-2.842779704900418
LiSc(TlCl3)2,-4.226801741313264
K2LiMoF6,-2.719609072029873
LiAlSiH2O5,-3.82065459779528
LiSn2(PO4)3,-3.4054138263059874
LiFeBO3,-4.996693479209637
CsLi(B3O5)2,-5.865834691423997
LiHoO2,-3.1073286415780617
NaLiTi3O7,-1.5157070002983504
LiBi3(ClO2)2,-2.693837332434041
LiFe(PO3)3,-3.213093093984238
LiTi2(PO4)3,-2.2779132221239236
LiCaAlN2,-3.1955274197251136
LiMo(PO3)4,-3.468363140682065
LiVF3,-1.810592606142511
LiMg3P3O11,-3.1058928855600185
Rb2LiFe(MoO4)3,-4.26343645807093
LiGeBO4,-4.570568531474137
LiMnGaF6,-4.217770617133033
Na3LiMo2(H6O7)2,-2.4168234389546632
LiMg30CrO32,-2.9388841380453017
LiTi2(PO4)3,-2.2779132221239236
LiCrSiO4,-4.329039430525588
LiTiAsO5,-2.5481690155200596
LiNdS2,-2.8146868553330733
Na5LiFe2P2(CO7)2,-4.306551746375832
LiCuS,-3.2983262222452914
LiMnH2OF4,-2.389409503969243
Cs2LiTlCl6,-3.548196901567668
LiH2N,-2.7781706175932626
Rb2LiSbF6,-3.1444170921623193
LiVP2O7,-2.879443423826046
LiNbO3,-2.4576314508454113
LiGd6B3O14,-4.404517737072856
LiFeSiO4,-4.523818002580662
LiCr(PO3)3,-3.9276490293885127
LiSiBiO4,-3.2413222087438904
LiBeH3,-2.0900799558535335
LiFe(Se2O5)2,-2.668481994723004
LiCoPO4,-3.8020303432844953
LiMnBO3,-5.078608787376993
Rb2LiTlCl6,-3.313259797676328
LiVF6,-2.7993219566095893
Ba2LiAl(CN2)4,-5.10639201893518
Na2LiNF6,-3.5118956609624417
RbLiMg(BH4)4,-3.4991830411147244
LiFeF4,-3.8302571637310336
LiV(PO3)4,-2.449321578811674
LiAsF6,-3.195552795902603
LiAlH4,-3.446255206633572
LiCaBO3,-4.068807813035439
KLiBeF4,-1.9523748916135002
LiTb(WO4)2,-3.8113843739012325
LiVFe(P2O7)2,-2.3407291107056256
LiZr2(AsO4)3,-3.6729991762948777
NaLiSO4,-3.222836337969557
LiVF5,-1.4781569209719825
LiGaI3,-4.218977113260869
Na3LiTi2Si4(HO4)4,-3.203330004351556
Rb4LiH3(SO4)4,-3.5017086812371447
LiNb(TeO4)3,-3.236870783632176
Cs2LiBr3,-3.1289711512847043
LiPWO5,-3.7651365064587345
K2LiAlH6,-3.315956019625994
LiV(PO3)4,-2.449321578811674
Cs2LiBiF6,-3.665028584901787
LiSbO2,-2.754616459369022
K3Na2LiTeO6,-2.9838566531751347
LiFeO2,-3.5667748498876812
LiCoPO4,-3.8020303432844953
LiVFeP2(O4F)2,-2.677812545271849
LiCo2P3O10,-3.2481877612068084
KLiYF5,-1.0116733027443516
LiMg10AlH24,-3.019532355361691
LiFeF4,-3.8302571637310336
LiCd2HSe2O7,-3.2141310921713315
LiV(IO4)2,-3.3742452560424057
Na2LiFePCO7,-4.274347308279453
Cs2LiPrF6,-3.212648587887907
LiMg6FeO8,-3.0413272756991527
LiAl2H6BrO6,-3.599756096755934
K3LiMg4(Si2O5)6,-3.994927569822594
SrLiBO3,-3.6572636532518583
LiFeMoClO4,-3.6696122512933336
LiFePO4,-3.902845651222185
LiZr2(PO4)3,-2.1619901658612526
LiAlSi2H2O7,-3.948966479733051
LiTiCrO4,-2.474018529372239
LiMnPO4,-3.697979490591744
LiZnPO4,-3.923099164364997
LiAl(SiO3)2,-4.124827328558294
LiMnNbO4,-3.0850594417077817
LiInO2,-4.318577206557362
Cs2LiMoF6,-3.37757229026323
LiCr(CO3)2,-4.847266188300425
LiMo2P2O9,-4.05932021323253
K2LiScF6,-1.7447861075151416
LiCrPO4,-3.652830891515626
LiBH4,-3.2347967288512303
LiFeF4,-3.8302571637310336
Cs2LiI3,-3.2597637037994143
K2LiNbO4,-2.7611449083485593
LiY(CN2)2,-3.1770859629506294
LiY(BH4)4,-3.0839910363253384
SrLi(BS2)3,-5.088260808775322
BaLi(BS2)3,-4.739628568825395
Sr3LiBiO6,-3.31162010882385
LiDy(PO3)4,-3.311564171776913
LiFe2P2HO8,-3.817154783800347
Rb2LiInF6,-3.61953809669565
LiB2H3O5,-4.021442402984434
NaLiZnS2,-2.755285618485198
Rb2LiScF6,-1.5722501903589883
CsLiI2,-3.0030156747808046
LiAgF2,-3.1500351848386656
LiTl2InF6,-4.127555407177502
LiVP2O7,-2.879443423826046
CsLiCl2,-2.8238791715005163
LiLaTiO4,-1.0353412502009836
LiDyS2,-3.1444816566075113
LiVPO4,-1.140695138263011
LiNd2Tl(MoO4)4,-4.4314545778010705
LiLa(CN2)2,-3.097025810634424
LiMg30CoO32,-2.9475643607576347
LiNd(MoO4)2,-4.189652901797408
NaLiBeF4,-2.260398685280657
Ba4LiTa3O12,-3.8263893330598124
K4LiH3(SO4)4,-2.900953488577001
Na5LiFe6(SiO3)12,-4.581138243060277
LiZnPO4,-3.923099164364997
LiSnPO4,-3.9773815142947018
Rb2LiErCl6,-2.5488770063127277
LiFeF4,-3.8302571637310336
